Name,Geographic Proximity,Geopolitical Closeness,Trading Partners Diversification
Q1 2022,100,100,100
Q2 2022,99.88165136,100.1158907,101.9009059
Q3 2022,99.88140929,100.0834637,102.0874212
Q4 2022,99.84654405,101.7133322,95.7479641
Q1 2023,99.94652664,102.7368696,94.24987127
